platform	source	api_name_status
fc	Advanced Dungeons & Dragons - Hillsfar (Japan).zip	rom_name_not_in_api
fc	Advanced Dungeons & Dragons - Pool of Radiance (Japan).zip	rom_name_not_in_api
fc	Adventures of Lolo (Japan) (En).zip	rom_name_not_in_api
fc	Adventures of Lolo II (Japan).zip	rom_name_not_in_api
fc	After Burner (Japan) (En).zip	rom_name_not_in_api
fc	Aigina no Yogen - Balubalouk no Densetsu Yori (Japan).zip	rom_name_not_in_api
fc	Air Fortress (Japan).zip	rom_name_not_in_api
fc	Airwolf (Japan) (Kyugo).zip	rom_name_not_in_api
fc	Akira (Japan).zip	rom_name_not_in_api
fc	Akumajou Densetsu (Japan).zip	rom_name_not_in_api
fc	Akumajou Special - Boku Dracula-kun (Japan).zip	rom_name_not_in_api
fc	Alien Syndrome (Japan).zip	rom_name_not_in_api
fc	American Dream (Japan).zip	rom_name_not_in_api
fc	Ankoku Shinwa - Yamato Takeru Densetsu (Japan).zip	rom_name_not_in_api
fc	Arabian Dream Scheherazade (Japan).zip	rom_name_not_in_api
fc	Arctic (Japan) (En).zip	rom_name_not_in_api
fc	Argos no Senshi (Japan) (FamicomBox).zip	rom_name_not_in_api
fc	Argos no Senshi - Hachamecha Daishingeki (Japan).zip	rom_name_not_in_api
fc	Arkanoid (Japan) (En).zip	rom_name_not_in_api
fc	Arkanoid II (Japan) (En).zip	rom_name_not_in_api
fc	Armadillo (Japan).zip	rom_name_not_in_api
fc	Artelius (Japan).zip	rom_name_not_in_api
fc	Asmik-kun Land (Japan).zip	rom_name_not_in_api
fc	Astro Robo Sasa (Japan) (En).zip	rom_name_not_in_api
fc	Athena (Japan).zip	rom_name_not_in_api
fc	Attack Animal Gakuen (Japan) (En) (Famicom 3D System).zip	rom_name_not_in_api
fc	B-Wings (Japan) (En).zip	rom_name_not_in_api
fc	Baken Hisshou Gaku - Gate In (Japan).zip	rom_name_not_in_api
fc	Bakushou!! Ai no Gekijou (Japan).zip	rom_name_not_in_api
fc	Bakushou!! Jinsei Gekijou 2 (Japan).zip	rom_name_not_in_api
fc	Ballblazer (Japan) (En).zip	rom_name_not_in_api
fc	Balloon Fight (Japan).zip	rom_name_not_in_api
fc	Banana (Japan).zip	rom_name_not_in_api
fc	Bard's Tale, The (Japan).zip	rom_name_not_in_api
fc	Baseball (Japan).zip	rom_name_not_in_api
fc	Baseball Fighter (Japan).zip	rom_name_not_in_api
fc	Baseball Star - Mezase Sankanou!! (Japan).zip	rom_name_not_in_api
fc	Batman (Japan) (En).zip	rom_name_not_in_api
fc	Batsu & Terry - Makyou no Tetsujin Race (Japan) (En).zip	rom_name_not_in_api
fc	Battle Baseball (Japan).zip	rom_name_not_in_api
fc	Battle Fleet (Japan).zip	rom_name_not_in_api
fc	Battle Formula (Japan) (En).zip	rom_name_not_in_api
fc	Battle Rush - Build Up Robot Tournament (Japan) (Datach).zip	rom_name_not_in_api
fc	Battle Storm (Japan).zip	rom_name_not_in_api
fc	BattleCity (Japan) (En).zip	rom_name_not_in_api
fc	Best Play Pro Yakyuu '90 (Japan).zip	rom_name_not_in_api
fc	Best Play Pro Yakyuu (Japan) (Rev 1).zip	rom_name_not_in_api
fc	Bikkuri Nekketsu Shin Kiroku! - Harukanaru Kin Medal (Japan).zip	rom_name_not_in_api
fc	Bio Miracle Bokutte Upa (Japan) (En).zip	rom_name_not_in_api
fc	Bird Week (Japan) (En).zip	rom_name_not_in_api
fc	Blodia Land - Puzzle Quest (Japan) (En).zip	rom_name_not_in_api
fc	Bokosuka Wars (Japan) (En).zip	rom_name_not_in_api
fc	Bomberman (Japan) (En).zip	rom_name_not_in_api
fc	Bomberman II (Japan) (En).zip	rom_name_not_in_api
fc	Booby Kids (Japan) (En).zip	rom_name_not_in_api
fc	Buggy Popper (Japan) (En).zip	rom_name_not_in_api
fc	Cadillac (Japan).zip	rom_name_not_in_api
fc	Capcom Barcelona '92 (Japan).zip	rom_name_not_in_api
fc	Captain Saver (Japan).zip	rom_name_not_in_api
fc	Captain Tsubasa (Japan).zip	rom_name_not_in_api
fc	Captain Tsubasa II - Super Striker (Japan).zip	rom_name_not_in_api
fc	Casino Derby (Japan).zip	rom_name_not_in_api
fc	Castle Excellent (Japan) (En).zip	rom_name_not_in_api
fc	Cat Ninden Teyandee (Japan).zip	rom_name_not_in_api
fc	Chack'n Pop (Japan) (En).zip	rom_name_not_in_api
fc	Challenger (Japan) (En).zip	rom_name_not_in_api
fc	Championship Bowling (Japan) (En).zip	rom_name_not_in_api
fc	Championship Lode Runner (Japan) (En).zip	rom_name_not_in_api
fc	Chester Field - Ankoku Shin e no Chousen (Japan).zip	rom_name_not_in_api
fc	Chip to Dale no Daisakusen (Japan).zip	rom_name_not_in_api
fc	Chitei Senkuu Vazolder (Japan).zip	rom_name_not_in_api
fc	Chou Fuyuu Yousai - Exed Exes (Japan) (En).zip	rom_name_not_in_api
fc	Chou Hen (Japan) (Joy Van).zip	rom_name_not_in_api
fc	Choujin Sentai - Jetman (Japan) (En).zip	rom_name_not_in_api
fc	Choujinrou Senki - Warwolf (Japan).zip	rom_name_not_in_api
fc	Chuugoku Janshi Story - Tonfuu (Japan).zip	rom_name_not_in_api
fc	City Adventure Touch - Mystery of Triangle (Japan).zip	rom_name_not_in_api
fc	Clu Clu Land (Japan).zip	rom_name_not_in_api
fc	Cobra Command (Japan).zip	rom_name_not_in_api
fc	Columbus - Ougon no Yoake (Japan).zip	rom_name_not_in_api
fc	Contra (Japan).zip	rom_name_not_in_api
fc	Cosmic Wars (Japan).zip	rom_name_not_in_api
fc	Cosmo Genesis (Japan).zip	rom_name_not_in_api
fc	Crayon Shin-chan - Ora to Poi Poi (Japan) (Datach).zip	rom_name_not_in_api
fc	Crazy Climber (Japan) (En).zip	rom_name_not_in_api
fc	CrossFire (Japan) (En).zip	rom_name_not_in_api
fc	Daiva - Imperial of Nirsartia (Japan).zip	rom_name_not_in_api
fc	De-Block (Japan).zip	rom_name_not_in_api
fc	Deep Dungeon III - Yuushi e no Tabi (Japan).zip	rom_name_not_in_api
fc	Deep Dungeon IV - Kuro no Youjutsushi (Japan).zip	rom_name_not_in_api
fc	Devil World (Japan) (Rev 1).zip	rom_name_not_in_api
fc	Dig Dug (Japan) (En).zip	rom_name_not_in_api
fc	Digital Devil Monogatari - Megami Tensei (Japan).zip	rom_name_not_in_api
fc	Digital Devil Story - Megami Tensei (Japan) (Rev 1).zip	rom_name_not_in_api
fc	Digital Devil Story - Megami Tensei II (Japan) (Rev 1).zip	rom_name_not_in_api
