platform	source	reason
fc	Deep Dungeon IV - Kuro no Youjutsushi (Japan).zip	unmatched ROM
fc	Devil World (Japan) (Rev 1).zip	unmatched ROM
fc	Dig Dug (Japan) (En).zip	unmatched ROM
fc	Digital Devil Monogatari - Megami Tensei (Japan).zip	unmatched ROM
fc	Digital Devil Story - Megami Tensei (Japan) (Rev 1).zip	unmatched ROM
fc	Digital Devil Story - Megami Tensei II (Japan) (Rev 1).zip	unmatched ROM
fc	Don Doko Don (Japan).zip	unmatched ROM
fc	Donald Land (Japan) (En).zip	unmatched ROM
fc	Donkey Kong (World) (Rev 1).zip	unmatched ROM
fc	Donkey Kong 3 (Japan).zip	unmatched ROM
fc	Donkey Kong Jr. (World) (Rev 1).zip	unmatched ROM
fc	Donkey Kong Jr. no Sansuu Asobi (Japan) (En).zip	unmatched ROM
fc	Door Door (Japan) (En).zip	unmatched ROM
fc	Doraemon - Giga Zombie no Gyakushuu (Japan).zip	unmatched ROM
fc	Dough Boy (Japan) (En).zip	unmatched ROM
fc	Downtown Special - Kunio-kun no Jidaigeki Da yo Zenin Shuugou! (Japan).zip	unmatched ROM
fc	Dragon Ball 3 - Gokuu Den (Japan) (Rev 1).zip	unmatched ROM
fc	Dragon Ball Z - Gekitou Tenkaichi Budoukai (Japan) (Datach).zip	unmatched ROM
fc	Dragon Ball Z II - Gekishin Freeza!! (Japan) (Rev 1).zip	unmatched ROM
fc	Dragon Buster II - Yami no Fuuin (Japan) (En).zip	unmatched ROM
fc	Dragon Quest II - Akuryou no Kamigami (Japan).zip	unmatched ROM
fc	Dragon Quest III - Soshite Densetsu e... (Japan).zip	unmatched ROM
fc	Dragon Scroll - Yomigaerishi Maryuu (Japan).zip	unmatched ROM
fc	Dragon Slayer IV - Drasle Family (Japan).zip	unmatched ROM
fc	Druaga no Tou (Japan).zip	unmatched ROM
fc	Duck Hunt (World).zip	unmatched ROM
fc	DuckTales 2 (Japan).zip	unmatched ROM
fc	Dynamite Batman (Japan) (En).zip	unmatched ROM
fc	Dynamite Bowl (Japan) (En).zip	unmatched ROM
fc	Eggerland - Meikyuu no Fukkatsu (Japan).zip	unmatched ROM
fc	Egypt (Japan).zip	unmatched ROM
fc	Erika to Satoru no Yume Bouken (Japan).zip	unmatched ROM
fc	Erunaaku no Zaihou (Japan).zip	unmatched ROM
fc	Esper Bouken Tai (Japan).zip	unmatched ROM
fc	Exciting Boxing (Japan) (En).zip	unmatched ROM
fc	Exciting Rally - World Rally Championship (Japan).zip	unmatched ROM
fc	Exerion (Japan) (En).zip	unmatched ROM
fc	Famicom Doubutsu Seitai Zukan! - Katte ni Shirokuma - Mori o Sukue no Maki! (Japan).zip	unmatched ROM
fc	Famicom Jump - Eiyuu Retsuden (Japan).zip	unmatched ROM
fc	Famicom Meijin Sen (Japan) (Rev 1).zip	unmatched ROM
fc	Family BASIC (Japan) (v3.0).zip	unmatched ROM
fc	Family Computer - Othello (Japan).zip	unmatched ROM
fc	Family Pinball (Japan).zip	unmatched ROM
fc	Family Quiz (Japan).zip	unmatched ROM
fc	Family Trainer 1 - Athletic World (Japan) (Rev 1).zip	unmatched ROM
fc	Family Trainer 10 - Rairai Kyonsees (Japan).zip	unmatched ROM
fc	Family Trainer 2 - Running Stadium (Japan).zip	unmatched ROM
fc	Family Trainer 3 - Aerobics Studio (Japan).zip	unmatched ROM
fc	Family Trainer 4 - Jogging Race (Japan).zip	unmatched ROM
fc	Family Trainer 5 - Meiro Daisakusen (Japan).zip	unmatched ROM
fc	Family Trainer 6 - Manhattan Police (Japan) (En).zip	unmatched ROM
fc	Family Trainer 7 - Daiundoukai (Japan).zip	unmatched ROM
fc	Family Trainer 8 - Totsugeki! Fuuun Takeshi-jou (Japan).zip	unmatched ROM
fc	Family Trainer 9 - Fuuun Takeshi-jou 2 (Japan).zip	unmatched ROM
fc	Famista '89 - Kaimaku Ban!! (Japan).zip	unmatched ROM
fc	Fantasy Zone (Japan) (En) (Sunsoft).zip	unmatched ROM
fc	Ferrari (Japan).zip	unmatched ROM
fc	Field Combat (Japan) (En).zip	unmatched ROM
fc	Final Fantasy (Japan) (Rev 1).zip	unmatched ROM
fc	Final Fantasy III (Japan).zip	unmatched ROM
fc	Fire Emblem - Ankoku Ryuu to Hikari no Tsurugi (Japan).zip	unmatched ROM
fc	Flappy (Japan) (En).zip	unmatched ROM
fc	Flipull - An Exciting Cube Game (Japan) (En).zip	unmatched ROM
fc	Formation Z (Japan) (En) (Rev 1).zip	unmatched ROM
fc	Galaxian (Japan) (En) (Rev 1).zip	unmatched ROM
fc	Ganbare Goemon! - Karakuri Douchuu (Japan).zip	unmatched ROM
fc	Garfield no Isshukan (Japan) (En).zip	unmatched ROM
fc	Geimos (Japan) (En).zip	unmatched ROM
fc	Gekitotsu Yonku Battle (Japan) (En).zip	unmatched ROM
fc	Gekitou Stadium!! (Japan).zip	unmatched ROM
fc	Godzilla (Japan).zip	unmatched ROM
fc	Golf (Japan).zip	unmatched ROM
fc	Golgo 13 - Dai 1 Shou - Kamigami no Tasogare (Japan).zip	unmatched ROM
fc	Golgo 13 - Dainishou - Icarus no Nazo (Japan).zip	unmatched ROM
fc	Gomoku Narabe Renju (Japan).zip	unmatched ROM
fc	Goonies (Japan) (En).zip	unmatched ROM
fc	Gorby no Pipeline Daisakusen (Japan) (En).zip	unmatched ROM
fc	Grand Master (Japan).zip	unmatched ROM
fc	Great Battle Cyber (Japan).zip	unmatched ROM
fc	Great Tank (Japan).zip	unmatched ROM
fc	Gun Nac (Japan).zip	unmatched ROM
fc	Gun-Dec (Japan).zip	unmatched ROM
fc	Gunhed - Aratanaru Tatakai (Japan).zip	unmatched ROM
fc	Gyrodine (Japan) (En).zip	unmatched ROM
fc	Hana no Star Kaidou (Japan) (En).zip	unmatched ROM
fc	Hanjuku Hero (Japan).zip	unmatched ROM
fc	Heavy Barrel (Japan) (En).zip	unmatched ROM
