status	local_id	rom	local_titles	official_title	genre	maker	releases	first_release_date	suggested_title	suggestion_score
official_exact	super-sidekicks-2-the-world-championship-tokuten-ou-2-real-fight-football-ssideki2	ssideki2.zip	得点王2 | Super Sidekicks 2 - The World Championship / Tokuten Ou 2 - Real Fight Football	得点王2	スポーツ	SNK	ＭＶＳカートリッジ ：1994/04/19 | ＮＥＯＧＥＯ ＲＯＭ：1994/05/27 | ＮＥＯＧＥＯ ＣＤ　：1994/09/09	1994-04-19		
official_exact	super-sidekicks-3-the-next-glory-tokuten-ou-3-eikou-e-no-chousen-ssideki3	ssideki3.zip	得点王3 | Super Sidekicks 3 - The Next Glory / Tokuten Ou 3 - Eikou e no Chousen	得点王3	スポーツ	SNK	ＭＶＳカートリッジ ：1995/03/07 | ＮＥＯＧＥＯ ＲＯＭ：1995/04/07 | ＮＥＯＧＥＯ ＣＤ　：1995/06/23	1995-03-07		
official_exact	super-sidekicks-tokuten-ou-ssideki	ssideki.zip	得点王 | Super Sidekicks / Tokuten Ou	得点王	スポーツ	SNK	ＭＶＳカートリッジ ：1992/12/14 | ＮＥＯＧＥＯ ＲＯＭ：1993/02/19 | ＮＥＯＧＥＯ ＣＤ　：1995/03/31	1992-12-14		
official_exact	the-king-of-fighters-2000-kof2000	kof2000.zip	ザ・キング・オブ・ファイターズ2000 | The King of Fighters 2000	ザ・キング・オブ・ファイターズ2000	格闘アクション	SNK	ＭＶＳカートリッジ ：2000/07/26 | ＮＥＯＧＥＯ ＲＯＭ：2000/12/21	2000-07-26		
official_exact	the-king-of-fighters-2001-kof2001	kof2001.zip	ザ・キング・オブ・ファイターズ2001 | The King of Fighters 2001	ザ・キング・オブ・ファイターズ2001	格闘アクション	SNKプレイモア	ＭＶＳカートリッジ ：2001/11/15 | ＮＥＯＧＥＯ ＲＯＭ：2002/03/14	2001-11-15		
official_exact	the-king-of-fighters-2002-kof2002	kof2002.zip	ザ・キング・オブ・ファイターズ2002 | The King of Fighters 2002	ザ・キング・オブ・ファイターズ2002	格闘アクション	SNKプレイモア	ＭＶＳカートリッジ ：2002/10/10 | ＮＥＯＧＥＯ ＲＯＭ：2002/12/19	2002-10-10		
official_exact	the-king-of-fighters-2003-kof2003	kof2003.zip	ザ・キング・オブ・ファイターズ2003 | The King of Fighters 2003	ザ・キング・オブ・ファイターズ2003	格闘アクション	SNKプレイモア	MV-0　　　　　　 ：2003/12/12 | ＮＥＯＧＥＯ ＲＯＭ：2004/03/18	2003-12-12		
official_exact	the-king-of-fighters-94-kof94	kof94.zip	ザ・キング・オブ・ファイターズ'94 | The King of Fighters '94	ザ・キング・オブ・ファイターズ'94	格闘アクション	SNK	ＭＶＳカートリッジ ：1994/08/25 | ＮＥＯＧＥＯ ＲＯＭ：1994/10/01 | ＮＥＯＧＥＯ ＣＤ　：1994/11/02	1994-08-25		
official_exact	the-king-of-fighters-95-kof95	kof95.zip	ザ・キング・オブ・ファイターズ'95 | The King of Fighters '95	ザ・キング・オブ・ファイターズ'95	格闘アクション	SNK	ＭＶＳカートリッジ ：1995/07/25 | ＮＥＯＧＥＯ ＲＯＭ：1995/09/01 | ＮＥＯＧＥＯ ＣＤ　：1995/09/29	1995-07-25		
official_exact	the-king-of-fighters-96-kof96	kof96.zip	ザ・キング・オブ・ファイターズ'96 | The King of Fighters '96	ザ・キング・オブ・ファイターズ'96	格闘アクション	SNK	ＭＶＳカートリッジ ：1996/07/30 | ＮＥＯＧＥＯ ＲＯＭ：1996/09/27 | ＮＥＯＧＥＯ ＣＤ　：1996/10/25	1996-07-30		
official_exact	the-king-of-fighters-97-kof97	kof97.zip	ザ・キング・オブ・ファイターズ'97 | The King of Fighters '97	ザ・キング・オブ・ファイターズ'97	格闘アクション	SNK	ＭＶＳカートリッジ ：1997/07/28 | ＮＥＯＧＥＯ ＲＯＭ：1997/09/25 | ＮＥＯＧＥＯ ＣＤ　：1997/10/30	1997-07-28		
official_exact	the-king-of-fighters-98-the-slugfest-king-of-fighters-98-dream-match-never-ends-kof98	kof98.zip	ザ・キング・オブ・ファイターズ'98 | The King of Fighters '98 - The Slugfest / King of Fighters '98 - Dream Match Never Ends	ザ・キング・オブ・ファイターズ'98	格闘アクション	SNK	ＭＶＳカートリッジ ：1998/07/23 | ＮＥＯＧＥＯ ＲＯＭ：1998/09/23 | ＮＥＯＧＥＯ ＣＤ　：1998/12/23	1998-07-23		
official_exact	the-king-of-fighters-99-millennium-battle-kof99	kof99.zip	ザ・キング・オブ・ファイターズ'99 | The King of Fighters '99 - Millennium Battle	ザ・キング・オブ・ファイターズ'99	格闘アクション	SNK	ＭＶＳカートリッジ ：1999/07/22 | ＮＥＯＧＥＯ ＲＯＭ：1999/09/23 | ＮＥＯＧＥＯ ＣＤ　：1999/12/02	1999-07-22		
official_alias	the-last-blade-2-bakumatsu-roman-dai-ni-maku-gekka-no-kenshi-lastbld2	lastbld2.zip	幕末浪漫第二幕 月華の剣士 | The Last Blade 2 / Bakumatsu Roman - Dai Ni Maku Gekka no Kenshi | 幕末浪漫第二幕　月華の剣士 ～月に咲く華、散りゆく花～	幕末浪漫第二幕　月華の剣士 ～月に咲く華、散りゆく花～	格闘アクション	SNK	ＭＶＳカートリッジ ：1998/11/25 | ＮＥＯＧＥＯ ＲＯＭ：1999/01/28 | ＮＥＯＧＥＯ ＣＤ　：1999/02/27	1998-11-25		
official_exact	the-last-blade-bakumatsu-roman-gekka-no-kenshi-lastblad	lastblad.zip	幕末浪漫 月華の剣士 | The Last Blade / Bakumatsu Roman - Gekka no Kenshi	～幕末浪漫～ 月華の剣士	格闘アクション	SNK	ＭＶＳカートリッジ ：1997/12/05 | ＮＥＯＧＥＯ ＲＯＭ：1998/01/29 | ＮＥＯＧＥＯ ＣＤ　：1998/03/26	1997-12-05		
official_exact	the-super-spy-superspy	superspy.zip	ザ・スーパースパイ | The Super Spy	ザ・スーパースパイ	3Dアクション	SNK	ＭＶＳカートリッジ ：1990/10/08 | ＮＥＯＧＥＯ ＲＯＭ：1991/07/01 | ＮＥＯＧＥＯ ＣＤ　：1994/09/09	1990-10-08		
official_exact	the-ultimate-11-the-snk-football-championship-tokuten-ou-honoo-no-libero-ssideki4	ssideki4.zip	得点王 炎のリベロ | The Ultimate 11 - The SNK Football Championship / Tokuten Ou - Honoo no Libero	得点王 炎のリベロ	スポーツ	SNK	ＭＶＳカートリッジ ：1996/10/16 | ＮＥＯＧＥＯ ＲＯＭ：1996/12/20	1996-10-16		
official_exact	thrash-rally-trally	trally.zip	スラッシュラリー | Thrash Rally	スラッシュラリー	レース	ADK	ＮＥＯＧＥＯ ＲＯＭ：1991/12/20	1991-12-20		
official_exact	top-hunter-roddy-and-cathy-tophuntr	tophuntr.zip	トップハンター | Top Hunter - Roddy & Cathy	トップハンター	アクション	SNK	ＭＶＳカートリッジ ：1994/05/18 | ＮＥＯＧＥＯ ＲＯＭ：1994/06/24 | ＮＥＯＧＥＯ ＣＤ　：1994/09/29	1994-05-18		
official_exact	top-player-s-golf-tpgolf	tpgolf.zip	トッププレイヤーズゴルフ | Top Player's Golf	トッププレイヤーズゴルフ	スポーツ	SNK	ＭＶＳカートリッジ ：1990/05/23 | ＮＥＯＧＥＯ ＲＯＭ：1991/07/01 | ＮＥＯＧＥＯ ＣＤ　：1994/09/09	1990-05-23		
official_exact	twinkle-star-sprites-twinspri	twinspri.zip	ティンクルスタースプライツ | Twinkle Star Sprites	ティンクルスター スプライツ	シューティング	ADK	ＭＶＳカートリッジ ：1996/11/25 | ＮＥＯＧＥＯ ＲＯＭ：1997/01/31 | ＮＥＯＧＥＯ ＣＤ　：1997/02/21	1996-11-25		
review_local_only	v-liner-vliner	vliner.zip	V-Liner							
official_exact	viewpoint-viewpoin	viewpoin.zip	ビューポイント | Viewpoint	ビューポイント	シューティング	サミー工業	ＭＶＳカートリッジ ：1992/11/20 | ＮＥＯＧＥＯ ＲＯＭ：1992/12/11 | ＮＥＯＧＥＯ ＣＤ　：1995/02/25	1992-11-20		
official_exact	voltage-fighter-gowcaizer-choujin-gakuen-gowcaizer-gowcaizr	gowcaizr.zip	超人学園ゴウカイザー | Voltage Fighter - Gowcaizer / Choujin Gakuen Gowcaizer	超人学園ゴウカイザー	格闘アクション	テクノスジャパン	ＭＶＳカートリッジ ：1995/09/18 | ＮＥＯＧＥＯ ＲＯＭ：1995/10/20 | ＮＥＯＧＥＯ ＣＤ　：1995/11/24	1995-09-18		
official_exact	waku-waku-7-wakuwak7	wakuwak7.zip	わくわく7 | Waku Waku 7	わくわく7	格闘アクション	サンソフト	ＭＶＳカートリッジ ：1996/11/21 | ＮＥＯＧＥＯ ＲＯＭ：1996/12/27	1996-11-21		
official_exact	windjammers-flying-power-disc-wjammers	wjammers.zip	フライングパワーディスク | Windjammers / Flying Power Disc	フライングパワーディスク	スポーツ	データイースト	ＭＶＳカートリッジ ：1994/02/17 | ＮＥＯＧＥＯ ＲＯＭ：1994/04/08 | ＮＥＯＧＥＯ ＣＤ　：1995/01/20	1994-02-17		
official_exact	world-heroes-2-jet-wh2j	wh2j.zip	ワールドヒーローズ2JET | World Heroes 2 Jet	ワールドヒーローズ2JET	格闘アクション	ADK	ＭＶＳカートリッジ ：1994/04/26 | ＮＥＯＧＥＯ ＲＯＭ：1994/06/10 | ＮＥＯＧＥＯ ＣＤ　：1994/11/11	1994-04-26		
official_exact	world-heroes-2-wh2	wh2.zip	ワールドヒーローズ2 | World Heroes 2	ワールドヒーローズ2	格闘アクション	ADK	ＭＶＳカートリッジ ：1993/04/26 | ＮＥＯＧＥＯ ＲＯＭ：1993/06/04 | ＮＥＯＧＥＯ ＣＤ　：1995/04/14	1993-04-26		
official_exact	world-heroes-perfect-whp	whp.zip	ワールドヒーローズパーフェクト | World Heroes Perfect	ワールドヒーローズパーフェクト	格闘アクション	ADK	ＭＶＳカートリッジ ：1995/05/25 | ＮＥＯＧＥＯ ＲＯＭ：1995/06/30 | ＮＥＯＧＥＯ ＣＤ　：1995/07/21	1995-05-25		
official_exact	world-heroes-wh1	wh1.zip	ワールドヒーローズ | World Heroes	ワールドヒーローズ	格闘アクション	ADK	ＭＶＳカートリッジ ：1992/07/28 | ＮＥＯＧＥＯ ＲＯＭ：1992/09/11 | ＮＥＯＧＥＯ ＣＤ　：1995/03/17	1992-07-28		
official_exact	zed-blade-operation-ragnarok-zedblade	zedblade.zip	作戦名ラグナロク | Zed Blade / Operation Ragnarok	作戦名ラグナロク	シューティング	NMK	ＭＶＳカートリッジ ：1994/09/13	1994-09-13		
official_alias	zintrick-oshidashi-zentrix-zintrckb	zintrckb.zip	Zintrick / Oshidashi Zentrix | 押し出しジントリック	押し出しジントリック	パズル	ADK	ＮＥＯＧＥＯ ＣＤ　：1996/03/22	1996-03-22		
official_exact	zupapa-zupapa	zupapa.zip	ズパパ! | Zupapa!	ズパパ！	コミカルアクション	ビデオシステム	ＭＶＳカートリッジ ：2001	2001		
review_official_only				ラリーチェイス	レース	ADK	ＭＶＳカートリッジ ：1991/11/08 | ＮＥＯＧＥＯ ＲＯＭ：1991/12/20 | ＮＥＯＧＥＯ ＣＤ　：1994/10/31	1991-11-08		
review_official_only				アンドロデュノス	シューティング	ビスコ	ＭＶＳカートリッジ ：1992/06/15 | ＮＥＯＧＥＯ ＲＯＭ：1992/07/17	1992-06-15		
review_official_only				パズルボブル	パズル	タイトー	ＭＶＳカートリッジ ：1994/12/21 | ＮＥＯＧＥＯ ＣＤ　：1995/05/02	1994-12-21		
review_official_only				スーパーバレー'94	スポーツ	TAITO	ＭＶＳカートリッジ ：1994	1994		
review_official_only				クロススウォードII	アクション	ADK	ＮＥＯＧＥＯ ＣＤ　：1995/05/02	1995-05-02		
review_official_only				アイドル麻雀ファイナルロマンス2	麻雀	ビデオシステム	ＮＥＯＧＥＯ ＣＤ　：1995/08/25	1995-08-25		
review_official_only				ADKワールド	バラエティ	ADK	ＮＥＯＧＥＯ ＣＤ　：1995/11/10	1995-11-10		
review_official_only				NEO・GEO CD SPECIAL	バラエティ	SNK	ＮＥＯＧＥＯ ＣＤ　：1995/12/22	1995-12-22		
review_official_only				超鉄ブリキンガー	シューティング	ザウルス	ＮＥＯＧＥＯ ＣＤ　：1996/09/20	1996-09-20		
review_official_only				ザ・キング・オブ・ファイターズ'96 ネオジオコレクション	バラエティ	SNK	ＮＥＯＧＥＯ ＣＤ　：1997/02/14	1997-02-14		
review_official_only				真説サムライスピリッツ武士道烈伝	ロールプレイング	SNK	ＮＥＯＧＥＯ ＣＤ　：1997/06/27	1997-06-27		
review_official_only				ウッチャンナンチャンの炎のチャレンジャーウルトラ電流イライラ棒	アクション	ザウルス	ＭＶＳカートリッジ ：1997/08/25	1997-08-25		
