status	local_id	rom	local_titles	official_title	genre	maker	releases	first_release_date	suggested_title	suggestion_score
official_exact	metal-slug-super-vehicle-001-mslug	mslug.zip	メタルスラッグ | Metal Slug - Super Vehicle-001	メタルスラッグ	アクション	ナスカ	ＭＶＳカートリッジ ：1996/04/19 | ＮＥＯＧＥＯ ＲＯＭ：1996/05/24 | ＮＥＯＧＥＯ ＣＤ　：1996/07/05	1996-04-19		
official_exact	metal-slug-x-super-vehicle-001-mslugx	mslugx.zip	メタルスラッグX | Metal Slug X - Super Vehicle-001	メタルスラッグX	アクション	SNK	ＭＶＳカートリッジ ：1999/03/19 | ＮＥＯＧＥＯ ＲＯＭ：1999/05/27	1999-03-19		
official_alias	minasan-no-okagesamadesu-dai-sugoroku-taikai-minasan	minasan.zip	みなさんのおかげさまです! 大スゴロク大会 | Minasan no Okagesamadesu! Dai Sugoroku Taikai | みなさんのおかげさまです	みなさんのおかげさまです	テーブル	モノリス	ＭＶＳカートリッジ ：1991/07/25 | ＮＥＯＧＥＯ ＲＯＭ：1991/07/21	1991-07-21		
official_exact	money-puzzle-exchanger-money-idol-exchanger-miexchng	miexchng.zip	マネーアイドルエクスチェンジャー | Money Puzzle Exchanger / Money Idol Exchanger	マネーアイドルエクスチェンジャー	パズル	フェイス	ＭＶＳカートリッジ ：1997/01/15	1997-01-15		
official_exact	mosyougi-mosyougi	mosyougi.zip	将棋の達人 | mosyougi	将棋の達人	将棋	ADK	ＭＶＳカートリッジ ：1995/09/28 | ＮＥＯＧＥＯ ＲＯＭ：1995/10/13 | ＮＥＯＧＥＯ ＣＤ　：1995/10/20	1995-09-28		
official_exact	mutation-nation-mutnat	mutnat.zip	ミューテイション・ネイション | Mutation Nation	ミューテイションネイション	アクション	SNK	ＭＶＳカートリッジ ：1992/03/16 | ＮＥＯＧＥＯ ＲＯＭ：1992/04/17 | ＮＥＯＧＥＯ ＣＤ　：1995/02/25	1992-03-16		
official_exact	nam-1975-nam1975	nam1975.zip	NAM-1975 | NAM-1975	NAM-1975	3Dアクション	SNK	ＭＶＳカートリッジ ：1990/04/26 | ＮＥＯＧＥＯ ＲＯＭ：1991/07/01 | ＮＥＯＧＥＯ ＣＤ　：1994/09/09	1990-04-26		
official_exact	neo-bomberman-neobombe	neobombe.zip	ネオ・ボンバーマン | Neo Bomberman	ネオ・ボンバーマン	アクション	ハドソン	ＭＶＳカートリッジ ：1997/05/01	1997-05-01		
official_alias	neo-drift-out-new-technology-neodrift	neodrift.zip	ネオドリフトアウト | Neo Drift Out - New Technology | NEOドリフトアウト	NEOドリフトアウト	レース	ビスコ	ＭＶＳカートリッジ ：1996/03/28 | ＮＥＯＧＥＯ ＣＤ　：1996/07/26	1996-03-28		
official_alias	neo-geo-cup-98-the-road-to-the-victory-neocup98	neocup98.zip	ネオジオカップ'98 | Neo-Geo Cup '98 - The Road to the Victory | ネオジオカップ'98 THE ROAD TO THE VICTORY	ネオジオカップ'98 THE ROAD TO THE VICTORY	スポーツ	SNK	ＭＶＳカートリッジ ：1998/05/28 | ＮＥＯＧＥＯ ＲＯＭ：1998/07/30	1998-05-28		
